,System,S2: 5 carbons,S2: 8 carbons,S2: 11 carbons,S2: 14 carbons,S2: 17 carbons,S2 Err: 5 carbons,S2 Err: 8 carbons,S2 Err: 11 carbons,S2 Err: 14 carbons,S2 Err: 17 carbons
0,acetyl - acetyl,0.7011342460087363,0.7999223123532644,0.8891085309605709,0.9377150026448454,0.9589056237995355,0.03356769168779487,0.034844608712902084,0.029493351220848188,0.013277947588820772,0.011095164742264924
1,amino - amino,0.642857594614747,0.8141730543214486,0.8935385934510529,0.9370677247901156,0.9609467374092671,0.025024804233715517,0.027671144414909924,0.036519551757242134,0.010040229348346585,0.010710598950118463
2,carboxyl - carboxyl,0.7208951495190399,0.8538153693461037,0.9154967185343308,0.9510573387318779,0.9676143624375445,0.030710549462766176,0.02471003863463542,0.024385190134811094,0.011143772966791895,0.009454342990389438
3,cyano - cyano,0.685514091598472,0.8186155152665068,0.8868139336083963,0.9257402551420576,0.9504393915499787,0.03175227377246788,0.0237684756384848,0.022016862935940584,0.019178266997038833,0.014288300710822367
4,cyclopropyl - cyclopropyl,0.7356805015455947,0.8113706695444188,0.8929819541543302,0.9330843258711182,0.9552740344613925,0.03016965243491593,0.017600954742434616,0.030933373719537263,0.020956157085862084,0.01158699388036935
5,ethylene - ethylene,0.7111150685880985,0.8177598841014238,0.8921267125413097,0.9183201694478977,0.9460399211742752,0.03275124113659548,0.028884929148252095,0.03032235534430979,0.018032717979678186,0.015406946866430784
6,fluorophenyl - fluorophenyl,0.7929730071736616,0.8285983682463656,0.8995974568879387,0.8939427633152736,0.9323917804619086,0.03233378071911403,0.027202616920703315,0.016327179683906616,0.005182027867810726,0.016724475524740667
7,hydroxyl - hydroxyl,0.6446629733224218,0.8370158794256589,0.905106651073474,0.9428647501341532,0.9623027869232539,0.018197956679392484,0.025537956409194866,0.01534545015117739,0.0099879876474218,0.009254446993262753
8,isopropyl - isopropyl,0.7267365152277504,0.8087519357694216,0.8669552359885306,0.9092017673063386,0.9450562438645573,0.02991135798917528,0.014771036988958887,0.023532195644899757,0.017256626287899878,0.02099354405454497
9,methoxy - methoxy,0.6841923461034225,0.8167807961261342,0.8907470476483382,0.9355830859220987,0.9570498690327087,0.02515962663296672,0.0315543673668453,0.031472646448402496,0.011623573647227941,0.009952964751873348
10,methyl - methyl,0.6768633845761478,0.8073415483150489,0.8867339503883116,0.9339174311460411,0.9504132317967565,0.031730636605342366,0.038139792638943876,0.01693450729952831,0.014983418103669858,0.015444623801790283
11,nitro - nitro,0.669910222748479,0.7968066184542559,0.8943131067870992,0.9361424434868388,0.9595313771282484,0.03775998489885863,0.036061479198951814,0.02285093590954743,0.014688031748547355,0.012685025770783299
12,nitrophenyl - nitrophenyl,0.8237388473039132,0.8607577290945219,0.885266693531541,0.915736350366082,0.9327571558323557,0.022340123660999366,0.014328397244396576,0.015190408110335238,0.010674622506921663,0.010791897594284023
13,perfluoromethyl - perfluoromethyl,0.6983642160795721,0.8145857957969238,0.8688699450313454,0.9143431902940382,0.9499912578668214,0.030875681253650877,0.03043360156576789,0.02539097052019746,0.027449527284002666,0.012578453457758492
14,phenyl - phenyl,0.7791794276359962,0.8271974129178169,0.8935952733246026,0.9170647461446446,0.9463384269440243,0.03389033422922574,0.021366362682434338,0.022615344067551627,0.016957838785243182,0.01063097960476021
15,pyrrole - pyrrole,0.7579149651935101,0.8698642938611613,0.9116723053247867,0.9459816114573684,0.9666059039451111,0.03571088777019652,0.030024988472210405,0.016077653853952954,0.01622033069171258,0.009342997792567993
